"","P_5","P_7","P_8","P_9","P_10","P_18","P_19","P_22","P_23","P_25","P_31","P_37","P_42","P_43","P_47","P_50"
"CXCL16",8.55216553833352,8.66044244600822,9.01120954139454,8.66044244600822,8.89497566250068,8.63538018298201,7.93010269877397,8.6945254065361,9.10738934399592,9.16348882486976,8.54113615094744,9.21557779969983,9.63018242369345,7.92508218277863,10.0986861832177,8.87493339942129
"TNFSF13",5.36443220615987,6.24816276107247,5.7158351656245,6.09405451606557,6.40205755511727,5.95495125536836,5.32344830138054,5.21572844228067,6.45870625368507,6.88586442320066,6.10622926812342,6.17417832838085,6.57091919983941,5.2814103579795,6.53857914555325,5.35931074104553
"UBXN1",6.355505303282,7.37433959028223,6.92317296348917,5.8837956830041,6.6365869097455,6.50825334591144,6.06361112846097,6.49207676529126,5.64753103148291,6.33930899991491,6.50825334591144,7.61466512120502,6.41015179318426,6.77489856438705,6.65375658593385,6.32513541722915
"SDC3",13.1398403275765,10.5790581441735,10.6390965235162,9.70727694508449,11.8596122224668,11.1893829686291,12.2096957647224,12.2497040849053,13.069832388732,12.8398034176732,12.559761307261,10.4889974956728,12.519754596124,9.46996909525624,12.0596624259233,13.2298499846278
"IL23R",4.65073569785342,3.94854693510869,4.22280625130254,2.99238833372897,3.96876774380156,2.35579016896156,3.23003544799947,0.141885041131139,4.13628489185196,3.33808792538707,3.57593822309418,-9.96578428466209,3.91765027237582,3.00813627265175,4.62161082585025,3.51405937371423
"GFI1",7.22238081836998,6.89796536589098,7.44173371899472,5.8837956830041,6.2137105349747,5.95495125536836,7.24654003636343,4.7835987492325,5.62202837276499,7.73525190645815,6.43948900838209,6.5304929341576,7.80657668652365,4.49965652234587,5.58222626087998,4.23544547702418
"VCAM1",10.1187042790466,9.40487543218517,9.94654013282469,8.06261928922836,9.33577127060185,9.80939462553715,9.27667816089107,5.30602160173589,9.94153506195892,10.5390316561136,9.28669421182862,9.58912999498098,10.4089403138426,8.29241029482024,9.67623949734545,9.67123338157929
"CADM3",7.46989305240966,8.90900489925325,7.89696596440515,7.55234217623408,6.76379782892866,5.13248690537742,5.01716629869017,5.21572844228067,5.17258231319835,6.62951645399666,8.02648307325154,7.47592679255974,6.4435349850285,6.12347432286616,6.82232035525571,2.00919290550149
"NLRP3",6.44656938299667,7.21634059551165,8.173014980899,5.16230433488497,5.18285831837828,6.00066459459931,4.66425029243784,6.41318699637357,6.50117633545917,6.10825825036394,6.84854779901362,6.63254669160348,6.41015179318426,5.8980313797316,7.04210532579287,6.72140599260817
"DDR2",10.5190181339357,11.8095985456188,11.0293105814912,10.0386303644968,9.80238681291693,11.619542026438,9.22359120524711,10.2788403519435,9.62217231050965,10.8392135099234,10.6691151224966,11.1693743533242,10.1887656732449,10.5190181339357,10.5390316561136,7.77945506678812
"SLAMF6",5.96815965804673,2.33784441664062,3.31169521798823,3.65488917444887,3.85893952866328,3.81828599871086,4.42753202528154,-9.96578428466209,3.27312635671193,6.10825825036394,5.72908113370803,5.34599290616725,6.22992469280925,2.38919197647617,2.91448850338663,2.84748678045198
"IL20",3.61599515100335,4.10138733128033,5.45347814550786,2.57661996852339,4.16585935714094,-9.96578428466209,2.63018201652457,3.95599869875862,3.27312635671193,2.40822310740318,3.29407557200748,2.21115972762189,-9.96578428466209,3.51188435454688,3.7818475123829,2.61856187982946
"IL24",2.78697410859205,3.35675648760601,-9.96578428466209,-9.96578428466209,3.73997344873641,0.168444893856263,3.72384562305133,-9.96578428466209,3.13568332264227,1.53860125500667,5.78611525388286,3.50970907130412,4.70580377256434,2.04157323785981,-9.96578428466209,3.96876774380156
"CTSS",11.8095985456188,12.4197369810324,11.4094702542162,12.2997141658584,11.6395483324825,12.3997333090851,10.859224340676,10.8392135099234,11.6295451903912,13.359862911849,11.5095057357842,12.0896693738935,12.9198140224701,11.5095057357842,13.069832388732,11.7995957528915
"S100A11",13.8899050603389,14.7799487699945,14.0999179214941,14.8499511963912,14.5099382262327,14.3599314575528,14.4299347039338,15.5399697490897,13.4498712029336,14.2099239471951,14.3399305007129,15.7399736650887,13.6898909424339,13.7998989488415,15.2799637751041,14.9399541479462
"PGLYRP4",2.25118137806696,3.77648368657304,6.01285103228677,2.99238833372897,5.61386563607849,-9.96578428466209,1.58277692528383,-9.96578428466209,2.39752301780909,4.38669561449311,1.80014690668732,6.9009904695492,1.6424778452641,2.04157323785981,4.70995667431404,-9.96578428466209
"S100A9",9.30772755825237,9.89949176493904,12.7697936435529,9.1594818466647,14.2499260269164,7.70611456123565,8.27435257904517,9.48098453202794,11.4995022973116,10.4389621297146,8.38670023865167,16.1099796225487,10.0486398297215,8.35360060121382,12.1496828437196,8.34156379888065
"S100A12",6.54969690001852,3.08994840074882,5.30192045048832,3.65488917444887,5.08824331653055,-9.96578428466209,3.57810564204716,4.50696486411152,4.94391944486101,3.49991701721412,4.34790463443976,9.89648862374419,4.09715418839918,4.08868584507422,6.02198983074925,-9.96578428466209
"TRIM46",5.02747369410845,4.69022645438769,4.65697380211908,4.45159092965335,4.41915955102068,4.466226889791,5.68831703454427,7.05822593386277,2.13419935092081,5.28346169419207,5.335746413283,5.17669295123863,5.85938618032862,5.14996813596291,4.20278261724172,5.8034211809266
